month,TIME AND SAVINGS DEPOSITS,FOREIGN CURRENCY DEPOSITS,   Domiciliary Accounts,   Federal Government Foreign Currency Deposit,   State Government Foreign Currency Deposit,   Local Government Foreign Currency Deposit,oldm2
,11947890.23,4386291.83,4100251.79,248500.36,37369.90,169.79,5382123.00
,11998632.51,4442175.71,4194616.75,215703.57,31757.49,97.90,5513085.30
,11894667.17,4189142.67,3868472.10,292734.01,27917.77,18.78,5666822.20
,11772218.65,4196749.95,3860730.42,297171.89,38774.58,73.06,5848971.80
,11592840.48,4218348.88,3899074.39,257965.93,61132.02,176.54,5991546.90
,11603130.91,4136938.20,3820862.39,252006.61,63903.29,165.91,6338696.60
,11674719.34,4190760.75,3871908.19,257015.54,61638.38,198.64,7294579.20
,11768407.36,4155916.88,3854819.82,241622.12,59294.90,180.04,7642490.70
,11690734.13,3999037.96,3726566.49,209438.60,62855.83,177.04,7891253.50
,11887988.96,4136975.40,3861305.19,207222.26,68278.87,169.07,8390146.50
,11990310.49,4087252.70,3824384.13,198779.42,63922.34,166.81,8032621.60
,12758155.06,4345133.30,4075085.49,207137.50,62865.88,44.43,4528950.40
,12827834.77,4393596.02,4118304.33,212944.25,62210.78,136.66,4244896.00
,13026709.94,4495073.93,4262569.19,166362.80,65933.70,208.24,5510105.20
,13105294.39,4548484.13,4300683.07,166322.58,81279.21,199.26,4687587.80
,13541921.13,4755261.46,4495360.61,175741.96,83907.45,251.44,4581096.30
,13628643.98,4695652.11,4434130.56,174189.74,87193.08,138.74,4706526.80
,13827379.37,4799092.48,4455212.64,250428.45,93228.96,222.43,4529825.00
,14019206.55,4974249.84,4642371.30,229772.93,101890.86,214.76,4542431.40
,14105908.02,4874292.11,4532233.24,238982.13,102949.97,126.78,4845468.40
,14298997.07,5013726.81,4739896.39,169947.21,103541.65,341.56,5290389.50
,14320374.41,5374893.64,5200764.05,73175.69,100486.27,467.63,5984596.20
,14267758.14,5229945.20,4962991.22,168360.26,98153.01,440.71,6392048.50
,14822196.50,5545036.29,5288214.58,169952.16,86509.36,360.19,6290673.50
,15128588.45,5967723.38,5615145.05,177505.05,174754.59,318.70,6956705.30
,14978506.94,5719304.29,5442169.56,178658.03,98311.96,164.74,6313773.30
